,TPR,group_value,group_variable,k,model_id,parameter,TNR,FOmR,FDR,FPR,FNR,NPV,Precision,PP,PN,PPR,PPrev,FP,FN,TN,TP,group_label_neg,group_label_pos,group_size,total_entities,Prev,PPR_disparity,PPR_ref_group_value,PPrev_disparity,PPrev_ref_group_value,FDR_disparity,FDR_ref_group_value,FOmR_disparity,FOmR_ref_group_value,FPR_disparity,FPR_ref_group_value,FNR_disparity,FNR_ref_group_value
0,0.0,10th,education,10,1,10_abs,0.9963503649635036,0.061855670103092786,1.0,0.0036496350364963502,1.0,0.9381443298969072,0.0,1,291,0.1,0.003424657534246575,1,18,273,0,274,18,292,9769,0.06164383561643835,10.0,12th,10.0,12th,10.0,12th,10.0,Preschool,10.0,12th,10.0,Preschool
1,0.0,11th,education,10,1,10_abs,0.9938650306748467,0.04424778761061947,1.0,0.006134969325153374,1.0,0.9557522123893806,0.0,2,339,0.2,0.005865102639296188,2,15,324,0,326,15,341,9769,0.04398826979472141,10.0,12th,10.0,12th,10.0,12th,10.0,Preschool,10.0,12th,10.0,Preschool
2,0.0,12th,education,10,1,10_abs,1.0,0.06896551724137931,0.0,0.0,1.0,0.9310344827586207,0.0,0,116,0.0,0.0,0,8,108,0,108,8,116,9769,0.06896551724137931,1.0,12th,1.0,12th,1.0,12th,10.0,Preschool,1.0,12th,10.0,Preschool
3,0.0,1st-4th,education,10,1,10_abs,1.0,0.044444444444444446,0.0,0.0,1.0,0.9555555555555556,0.0,0,45,0.0,0.0,0,2,43,0,43,2,45,9769,0.044444444444444446,1.0,12th,1.0,12th,1.0,12th,10.0,Preschool,1.0,12th,10.0,Preschool
4,0.0,5th-6th,education,10,1,10_abs,1.0,0.05063291139240506,0.0,0.0,1.0,0.9493670886075949,0.0,0,79,0.0,0.0,0,4,75,0,75,4,79,9769,0.05063291139240506,1.0,12th,1.0,12th,1.0,12th,10.0,Preschool,1.0,12th,10.0,Preschool
5,0.0,7th-8th,education,10,1,10_abs,0.9943181818181818,0.038461538461538464,1.0,0.005681818181818182,1.0,0.9615384615384616,0.0,1,182,0.1,0.00546448087431694,1,7,175,0,176,7,183,9769,0.03825136612021858,10.0,12th,10.0,12th,10.0,12th,10.0,Preschool,10.0,12th,10.0,Preschool
6,0.0,9th,education,10,1,10_abs,1.0,0.052980132450331126,0.0,0.0,1.0,0.9470198675496688,0.0,0,151,0.0,0.0,0,8,143,0,143,8,151,9769,0.052980132450331126,1.0,12th,1.0,12th,1.0,12th,10.0,Preschool,1.0,12th,10.0,Preschool
7,0.0,Assoc-acdm,education,10,1,10_abs,1.0,0.2871287128712871,0.0,0.0,1.0,0.7128712871287128,0.0,0,303,0.0,0.0,0,87,216,0,216,87,303,9769,0.2871287128712871,1.0,12th,1.0,12th,1.0,12th,10.0,Preschool,1.0,12th,10.0,Preschool
8,0.0,Assoc-voc,education,10,1,10_abs,1.0,0.2955665024630542,0.0,0.0,1.0,0.7044334975369458,0.0,0,406,0.0,0.0,0,120,286,0,286,120,406,9769,0.2955665024630542,1.0,12th,1.0,12th,1.0,12th,10.0,Preschool,1.0,12th,10.0,Preschool
9,0.0,Bachelors,education,10,1,10_abs,1.0,0.4074754901960784,0.0,0.0,1.0,0.5925245098039216,0.0,0,1632,0.0,0.0,0,665,967,0,967,665,1632,9769,0.4074754901960784,1.0,12th,1.0,12th,1.0,12th,10.0,Preschool,1.0,12th,10.0,Preschool
