,as_of_date,education,entity_id,gender,label_value,race,score,rank_abs,rank_pct
5794,5794, HS-grad,5794, Male,1, White,0.7866807615259845,3950,0.5956597399938581
26705,26705, Assoc-voc,26705, Female,0, White,0.5968971110922432,8664,0.11311290817893338
3474,3474, Bachelors,3474, Female,0, White,0.7536287799924483,5788,0.4075135633125192
31797,31797, Some-college,31797, Male,0, White,0.8139743442054237,2397,0.754631999181083
26674,26674, Bachelors,26674, Male,0, White,0.7777893964653946,4514,0.5379260927423483
12609,12609, 10th,12609, Male,0, White,0.7379323711935364,6444,0.3403623707646637
23116,23116, Some-college,23116, Male,0, White,0.8807617608980487,527,0.9460538437915856
4048,4048, Some-college,4048, Male,0, White,0.8079650507514891,2708,0.7227966014945235
14792,14792, HS-grad,14792, Female,0, White,0.5989060072700858,8660,0.11352236667007887
11543,11543, HS-grad,11543, Male,0, White,0.8021070310685149,3041,0.688709182106664
21909,21909, Some-college,21909, Male,0, White,0.8875676912913651,415,0.9575186815436585
5644,5644, 10th,5644, Female,0, White,0.8389638842131343,1496,0.8468625243115979
32462,32462, HS-grad,32462, Male,1, White,0.25693515944270484,9398,0.03797727505374138
4272,4272, Some-college,4272, Male,0, White,0.777787224193691,4515,0.5378237281195619
22809,22809, HS-grad,22809, Male,0, White,0.7700393617026733,4993,0.4888934384276794
29125,29125, Some-college,29125, Male,0, White,0.7633559914222505,5337,0.45368000818916987
12337,12337, Bachelors,12337, Female,1, Black,0.6861440736759672,7921,0.1891698229092026
1728,1728, Masters,1728, Female,1, White,0.8127568642247904,2450,0.7492066741734057
12129,12129, HS-grad,12129, Male,0, Asian-Pac-Islander,0.6969463204505071,7689,0.21291841539563927
26302,26302, 9th,26302, Male,0, White,0.7440529995232115,6224,0.362882587777664
10170,10170, Bachelors,10170, Male,0, White,0.47743724957466915,8966,0.08219879209745107
12288,12288, Doctorate,12288, Male,1, White,0.8675899948306619,803,0.9178012079025488
31981,31981, HS-grad,31981, Male,0, White,0.6726233542350655,8159,0.16480704268604773
8201,8201, Some-college,8201, Male,0, White,0.7615958511187068,5425,0.4446719213839697
30600,30600, 7th-8th,30600, Male,0, White,0.6565564765591213,8387,0.14146790869075643
4371,4371, HS-grad,4371, Male,0, White,0.6762895500759541,8109,0.16992527382536593
14628,14628, Some-college,14628, Male,1, White,0.7651656037989903,5250,0.46258573037158357
5974,5974, HS-grad,5974, Male,0, White,0.7526535192896646,5841,0.40208823830484186
5465,5465, Assoc-voc,5465, Male,0, White,0.7224334806506618,7005,0.28293581738151297
