entity_id,score,label_value,race,sex,age_cat
2793,1.0,0,African-American,Male,25 - 45
7338,1.0,1,African-American,Male,Less than 25
10512,1.0,1,African-American,Male,25 - 45
3816,1.0,1,Other,Male,Less than 25
8933,1.0,1,Caucasian,Male,25 - 45
3840,1.0,0,African-American,Male,25 - 45
7302,1.0,1,African-American,Male,25 - 45
7299,1.0,1,African-American,Male,25 - 45
7289,1.0,1,African-American,Male,25 - 45
3865,1.0,0,African-American,Male,Less than 25
469,1.0,1,African-American,Male,Less than 25
3870,1.0,1,African-American,Male,25 - 45
467,1.0,1,Other,Male,Less than 25
7283,1.0,0,African-American,Female,25 - 45
2148,1.0,1,African-American,Female,25 - 45
7252,1.0,1,African-American,Female,25 - 45
2146,1.0,1,African-American,Male,Less than 25
3936,1.0,1,African-American,Male,25 - 45
3939,1.0,1,African-American,Male,25 - 45
2138,1.0,1,African-American,Male,25 - 45
947,1.0,0,Caucasian,Female,Less than 25
3969,1.0,1,African-American,Male,Less than 25
7202,1.0,0,African-American,Male,25 - 45
949,1.0,1,Caucasian,Female,Less than 25
4007,1.0,1,African-American,Male,Less than 25
7334,1.0,1,African-American,Male,25 - 45
3782,1.0,1,African-American,Male,25 - 45
7136,1.0,1,African-American,Male,25 - 45
8906,1.0,1,Caucasian,Male,Less than 25
8821,1.0,1,African-American,Male,Less than 25
8823,1.0,1,Hispanic,Male,25 - 45
542,1.0,1,African-American,Male,Less than 25
541,1.0,0,African-American,Female,25 - 45
2289,1.0,1,Caucasian,Female,Less than 25
3622,1.0,0,African-American,Male,25 - 45
7479,1.0,0,Caucasian,Male,Less than 25
2283,1.0,1,African-American,Male,25 - 45
531,1.0,1,African-American,Male,25 - 45
2272,1.0,0,Hispanic,Male,Greater than 45
8867,1.0,0,Caucasian,Male,Less than 25
8873,1.0,1,African-American,Male,25 - 45
523,1.0,1,African-American,Male,Less than 25
7437,1.0,1,Caucasian,Female,25 - 45
917,1.0,1,African-American,Male,Less than 25
2250,1.0,1,African-American,Male,25 - 45
919,1.0,1,Hispanic,Male,25 - 45
7405,1.0,1,Caucasian,Female,Less than 25
7395,1.0,1,African-American,Male,25 - 45
7393,1.0,1,African-American,Male,Less than 25
2247,1.0,1,African-American,Male,25 - 45
3751,1.0,1,African-American,Male,25 - 45
8881,1.0,1,African-American,Male,25 - 45
8999,1.0,1,African-American,Male,Less than 25
956,1.0,1,African-American,Male,Less than 25
4444,1.0,0,Caucasian,Female,25 - 45
9187,1.0,1,Hispanic,Male,Less than 25
10614,1.0,1,African-American,Male,25 - 45
10619,1.0,1,African-American,Male,Less than 25
1000,1.0,1,African-American,Male,25 - 45
4306,1.0,1,African-American,Male,Less than 25
1924,1.0,1,African-American,Male,Less than 25
4329,1.0,0,African-American,Male,25 - 45
1908,1.0,1,Caucasian,Male,Less than 25
4339,1.0,1,Hispanic,Male,25 - 45
1895,1.0,1,African-American,Male,25 - 45
6896,1.0,1,Hispanic,Male,25 - 45
1880,1.0,1,Other,Male,Less than 25
10643,1.0,0,African-American,Male,Less than 25
4404,1.0,1,African-American,Female,25 - 45
4406,1.0,0,Hispanic,Male,Less than 25
6870,1.0,0,Caucasian,Male,25 - 45
4409,1.0,1,Caucasian,Male,25 - 45
6864,1.0,1,African-American,Male,25 - 45
334,1.0,1,African-American,Male,25 - 45
6831,1.0,1,Caucasian,Female,25 - 45
10659,1.0,1,African-American,Male,25 - 45
10664,1.0,1,African-American,Male,Less than 25
4436,1.0,1,African-American,Male,Less than 25
1832,1.0,0,African-American,Female,25 - 45
4293,1.0,1,Other,Male,Less than 25
4230,1.0,0,Hispanic,Male,25 - 45
4086,1.0,1,African-American,Male,25 - 45
979,1.0,1,Caucasian,Male,Less than 25
4101,1.0,1,African-American,Male,25 - 45
7105,1.0,1,African-American,Male,25 - 45
2076,1.0,1,African-American,Male,25 - 45
7097,1.0,0,African-American,Male,25 - 45
7086,1.0,1,African-American,Male,Greater than 45
10561,1.0,0,African-American,Male,Less than 25
10571,1.0,1,Caucasian,Male,Less than 25
4145,1.0,1,African-American,Male,Less than 25
7073,1.0,1,African-American,Male,25 - 45
4158,1.0,1,African-American,Male,Less than 25
409,1.0,0,African-American,Male,25 - 45
2048,1.0,1,African-American,Male,Less than 25
407,1.0,1,African-American,Male,Less than 25
4162,1.0,1,African-American,Male,25 - 45
2036,1.0,1,African-American,Male,25 - 45
4181,1.0,1,African-American,Male,25 - 45
4184,1.0,1,Caucasian,Male,25 - 45
2018,1.0,1,African-American,Male,Less than 25
4189,1.0,1,African-American,Male,25 - 45
10051,1.0,1,Caucasian,Male,25 - 45
7037,1.0,1,African-American,Male,25 - 45
1994,1.0,1,Caucasian,Male,25 - 45
4207,1.0,1,African-American,Male,25 - 45
7546,1.0,0,Caucasian,Male,Less than 25
2329,1.0,1,African-American,Male,25 - 45
7576,1.0,1,African-American,Male,25 - 45
829,1.0,1,Caucasian,Male,Less than 25
8250,1.0,1,African-American,Male,Less than 25
721,1.0,0,Hispanic,Male,Less than 25
2930,1.0,1,African-American,Male,25 - 45
718,1.0,1,African-American,Male,Less than 25
8239,1.0,0,African-American,Male,25 - 45
10197,1.0,1,African-American,Female,Greater than 45
8223,1.0,0,Caucasian,Female,25 - 45
10313,1.0,0,African-American,Male,25 - 45
8543,1.0,1,African-American,Male,Less than 25
8188,1.0,0,Caucasian,Male,25 - 45
8187,1.0,1,African-American,Male,Less than 25
8552,1.0,1,African-American,Male,25 - 45
701,1.0,0,African-American,Male,25 - 45
8565,1.0,1,African-American,Male,25 - 45
10189,1.0,1,African-American,Male,25 - 45
10326,1.0,1,African-American,Male,25 - 45
8140,1.0,1,African-American,Male,25 - 45
3029,1.0,1,African-American,Male,25 - 45
3031,1.0,1,Caucasian,Male,25 - 45
2561,1.0,1,Caucasian,Female,25 - 45
8120,1.0,0,African-American,Male,25 - 45
685,1.0,1,African-American,Female,Greater than 45
8113,1.0,1,African-American,Male,Less than 25
2913,1.0,0,African-American,Male,25 - 45
825,1.0,1,Caucasian,Male,Less than 25
7587,1.0,1,African-American,Male,25 - 45
8518,1.0,1,African-American,Male,Less than 25
2721,1.0,1,Other,Male,25 - 45
8438,1.0,1,Caucasian,Female,25 - 45
8396,1.0,1,African-American,Male,25 - 45
2735,1.0,1,African-American,Male,25 - 45
8472,1.0,1,African-American,Male,25 - 45
10250,1.0,0,African-American,Male,25 - 45
8378,1.0,1,Caucasian,Male,Greater than 45
8367,1.0,1,African-American,Male,25 - 45
2792,1.0,0,African-American,Male,25 - 45
2807,1.0,1,Hispanic,Male,Less than 25
8325,1.0,1,African-American,Male,Less than 25
2813,1.0,1,African-American,Male,25 - 45
10214,1.0,0,African-American,Male,Less than 25
2819,1.0,1,African-American,Male,Less than 25
8492,1.0,1,African-American,Male,25 - 45
2844,1.0,1,Hispanic,Male,Less than 25
10280,1.0,1,African-American,Male,25 - 45
8501,1.0,1,African-American,Male,25 - 45
8304,1.0,0,Caucasian,Female,25 - 45
8292,1.0,1,African-American,Male,25 - 45
8290,1.0,1,African-American,Male,Less than 25
10290,1.0,1,African-American,Male,25 - 45
820,1.0,0,Hispanic,Male,25 - 45
